station_id,city_name,date,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,snow_depth_mm,avg_wind_dir_deg,avg_wind_speed_kmh,peak_wind_gust_kmh,avg_sea_level_pres_hpa,sunshine_total_min
12566,Kraków,1985-04-11,Spring,7.3,3.8,11.0,,,,9.3,,,
67295,Chimoio,2006-12-07,Summer,25.3,18.0,,,,,,,,
38328,Shymkent,1975-07-02,Summer,33.8,20.0,,0.0,,,,,,
31960,Vladivostok,1917-10-04,Autumn,13.6,10.0,18.8,0.5,,,,,,
41150,Manama,2003-02-04,Winter,20.3,16.5,24.8,,,141.0,23.5,,,
07190,Saint-Pierre,1999-11-06,Autumn,8.5,7.2,10.8,0.6,,,16.7,,1011.9,
44341,Mandalgovi,1991-10-15,Autumn,2.3,0.5,11.7,0.0,,,,,,
83746,Rio de Janeiro,1989-08-02,Winter,21.1,,,,,,,,,
25913,Magadan,2016-06-22,Summer,9.5,6.7,11.5,2.9,,,,,,
87497,Paysandú,2019-10-21,Spring,16.9,12.4,,0.0,,,,,,
34922,Krasnodar,1989-12-20,Winter,9.3,5.0,15.2,0.0,,,,,,
85242,Oruro,1994-10-26,Spring,13.5,,20.7,,,,,,,
D4704,Bregenz,2022-10-12,Autumn,13.0,10.4,15.9,0.0,0.0,59.0,4.5,,1023.2,
38457,Tashkent,1934-11-04,Autumn,8.2,1.7,16.3,0.0,,,,,,
32583,Petropavlovsk-Kamchatsky,2021-08-25,Summer,16.2,12.5,22.6,0.0,,198.0,12.9,,1017.1,
33946,Simferopol,1966-11-29,Autumn,8.8,4.5,14.0,3.9,,,,,,
15480,Constanța,2023-08-24,Summer,26.0,23.3,29.3,1.8,,163.0,4.5,25.9,1015.0,
41883,Jamalpur District,2014-09-17,Autumn,29.4,27.0,34.2,0.0,,,,,,
06700,Geneva,2003-11-28,Autumn,4.1,1.4,6.7,0.0,0.0,,5.1,,1012.1,
07149,Paris,2012-05-04,Spring,14.1,9.5,19.9,1.8,,,9.0,,1005.2,
48375,Mawlamyine,2003-08-09,Summer,25.1,23.5,29.0,15.7,,,,,,
65592,Harper,1975-06-09,Summer,24.3,21.9,26.0,56.7,,,,,,
16325,Bari,2014-06-16,Summer,23.1,20.0,26.4,2.0,,,,,,
71964,Whitehorse,2002-02-22,Winter,-17.4,-27.4,-11.9,0.0,350.0,,3.1,,1036.5,
44304,Öndörkhaan,2005-03-28,Spring,0.9,-9.8,9.1,0.0,,,,,,
60531,Tlemcen,1997-12-11,Winter,12.6,7.0,20.5,0.0,,,,,,
16641,Corfu,1989-10-27,Autumn,17.1,11.0,26.4,0.0,,,,,,
10554,Erfurt,1953-07-01,Summer,22.2,14.6,29.2,0.0,0.0,,,,1018.7,540.0
71801,St. John's,1982-01-10,Winter,0.3,-6.0,6.0,,,182.0,47.0,,988.6,
80440,Barinas,2015-12-09,Winter,29.2,22.0,,,,,,,,
87344,Córdoba,1998-06-18,Winter,8.7,1.6,16.4,0.0,,,8.1,,1020.4,
02911,Vaasa,1979-09-29,Autumn,6.9,3.8,9.2,0.0,,,,,,
44277,Altai,1974-08-02,Summer,15.7,3.0,,,,,,,,
53463,Hohhot,1973-12-23,Winter,-13.6,-17.5,-5.7,0.0,,,,,,
10361,Magdeburg,2021-02-17,Winter,6.0,4.4,8.6,0.0,100.0,239.0,10.1,26.3,1014.8,204.0
68024,Ghanzi,2010-08-08,Winter,18.9,5.6,26.6,,,,,,,
67237,Nampula,2013-01-18,Summer,29.2,,,,,,,,,
17150,Balıkesir,1967-11-03,Autumn,14.7,,21.1,4.1,,,,,,
38696,Samarkand,1981-04-30,Spring,19.5,16.5,24.4,1.3,,,,,,
72419,Jackson,2005-04-17,Spring,16.7,7.8,25.6,0.0,0.0,,7.2,,1025.5,
40731,Qazvin,2001-06-14,Summer,22.6,12.4,29.4,0.0,,,,,,
17170,Van,1975-04-17,Spring,8.6,0.2,16.8,0.0,,,,,,
72219,Atlanta,1999-09-03,Autumn,25.6,21.7,29.4,0.0,0.0,,6.8,,1014.8,659.0
71449,Roseau,2007-07-28,Summer,19.1,10.4,27.8,0.0,0.0,,3.7,,,
38696,Samarkand,1990-02-22,Winter,1.2,-0.1,4.1,1.2,,,,,,
16153,Genoa,1997-05-04,Spring,13.7,,,0.0,,,,,,
26063,Saint Petersburg,1890-10-17,Autumn,7.8,5.1,9.3,0.0,,,,,,
27459,Nizhny Novgorod,1939-11-07,Autumn,-2.6,-3.3,-2.3,0.0,,,,,,
41140,Jizan,2009-11-16,Autumn,28.5,23.6,33.0,,,,9.0,,,
93439,Wellington,2012-03-04,Autumn,13.2,,15.7,9.9,,,,,,
26038,Tallinn,2004-05-02,Spring,11.2,,,,,,,,,
48303,Chiang Rai,2010-11-11,Autumn,20.6,14.0,28.9,,,,,,,
07015,Lille,1990-10-15,Autumn,18.9,14.2,23.1,0.0,,,,,,
72483,Sacramento,2008-05-12,Spring,19.4,11.7,26.7,0.0,,,20.9,,1011.7,
60535,Djelfa,1976-08-31,Summer,22.5,16.0,30.0,,,,,,,
10739,Stuttgart,1976-11-15,Autumn,5.4,5.0,6.1,2.4,0.0,,11.9,22.3,1026.7,
34504,Dnipro,1990-06-12,Summer,15.6,,18.5,11.9,,,,,,
81001,Georgetown,2002-10-30,Autumn,29.9,25.1,31.9,0.5,,,,,,
12205,Szczecin,1990-10-10,Autumn,11.6,8.6,14.6,,,,,,,
15730,Haskovo,2016-11-13,Autumn,9.3,3.5,15.2,11.2,,,,,,
26038,Tallinn,2005-02-13,Winter,-3.0,,,,170.0,,,,,
65505,Dédougou,2018-03-19,Spring,34.2,25.6,42.0,0.0,,,,,,
60549,Sidi Bel Abbès,1984-07-20,Summer,28.2,21.4,35.4,0.0,,,,,,
30925,Sükhbaatar,2021-05-02,Spring,2.8,0.8,5.0,2.5,,349.0,18.7,,1009.6,
67137,Fianarantsoa,2016-12-27,Summer,21.8,17.4,28.4,,,,,,,
85154,Trinidad,1987-06-07,Winter,19.4,16.0,,13.0,,,,,,
07643,Montpellier,1986-11-22,Autumn,12.7,9.9,16.3,,,,,,,
62007,Zawiya,1978-08-20,Summer,24.8,23.0,28.0,,,,,,,
87582,Buenos Aires,2005-11-09,Spring,18.2,12.4,21.0,,,81.0,22.8,,1022.6,
72327,Nashville,1998-04-21,Spring,10.6,4.4,16.7,0.5,,,4.7,,1017.4,
10162,Schwerin,1999-01-24,Winter,4.7,3.0,5.9,0.2,0.0,227.0,20.9,46.8,1014.8,0.0
34861,Elista,1966-08-30,Summer,12.8,8.2,18.7,0.0,,,,,,
34123,Voronezh,1936-06-25,Summer,22.4,13.4,29.3,0.0,,,,,,
27485,Yoshkar-Ola,1937-12-25,Winter,-18.3,-21.4,-13.7,0.0,,,,,,
91753,Mata-Utu,1990-08-18,Winter,28.2,26.1,30.4,0.0,,,,,,
87217,La Rioja,2003-08-30,Winter,10.5,2.8,19.5,0.0,,,,,,
64458,Ouésso,1994-09-17,Autumn,24.8,21.2,32.2,2.0,,,,,,
37472,Makhachkala,1958-09-23,Autumn,16.2,14.2,19.2,0.4,,,,,,
42971,Bhubaneswar,2004-08-19,Summer,26.4,25.7,27.8,8.9,,,,,,
86490,Mercedes,2010-09-28,Spring,18.1,11.0,23.5,3.0,,,,,,
42724,Agartala,2002-11-10,Autumn,25.8,20.8,,0.0,,,,,,
40357,Arar,2016-02-20,Winter,17.6,13.0,24.0,,,288.0,20.6,,1014.1,
65507,Fada N'gourma,2011-03-26,Spring,33.4,,41.5,,,,,,,
11520,Prague,1989-12-12,Winter,-1.3,,1.3,,,,,,,
40030,Hama,2009-11-26,Autumn,10.7,8.2,14.9,,,,,,,
08021,Santander,2017-03-29,Spring,13.4,7.5,20.0,0.0,,,4.7,,1024.0,
15730,Haskovo,1984-03-26,Spring,6.5,0.0,14.7,0.0,,,,,,
97320,Dili,2005-05-24,Autumn,27.2,21.8,31.4,0.0,,,,,,
10384,Berlin,2005-08-10,Summer,13.8,12.5,15.5,7.1,0.0,249.0,20.2,42.5,1008.0,0.0
65344,Cotonou,1995-12-12,Winter,28.8,20.5,31.7,,,,,,,
07037,Rouen,1991-08-17,Summer,14.9,9.8,20.8,0.0,,,,,,
72509,Boston,1972-11-21,Autumn,1.2,-3.3,5.0,0.0,0.0,321.0,24.4,55.4,1015.8,576.0
34300,Kharkiv,1982-06-15,Summer,19.7,14.2,24.6,0.0,,,,,,
72488,Carson City,2015-01-09,Winter,3.2,-3.2,9.4,0.0,0.0,,1.1,,1019.6,
85766,Valdivia,2021-09-01,Spring,9.3,4.5,17.7,0.1,,273.0,3.9,,1020.4,
54823,Jinan,2010-04-29,Spring,14.7,8.7,20.5,0.0,,,,,,
37036,Cherkessk,1961-04-23,Spring,2.8,2.2,3.9,4.9,,,,,,
64400,Cabinda,2021-08-08,Winter,24.5,21.7,28.0,,,193.0,8.1,,1015.8,
72564,Cheyenne,2018-06-04,Summer,19.8,10.0,29.4,0.0,0.0,,11.5,,1010.3,
60580,Ouargla,2010-01-09,Winter,8.8,5.0,13.4,0.0,,,13.3,,,
38687,Türkmenabat,1945-04-18,Spring,20.1,11.2,29.3,0.0,,,,,,
25913,Magadan,1989-04-20,Spring,-2.9,-5.4,-0.5,0.0,,,,,,
48615,Kota Bharu,2016-09-04,Autumn,27.6,23.0,32.0,31.0,,238.0,10.4,,1010.4,
17022,Zonguldak,1992-12-03,Winter,3.1,0.4,7.0,0.0,,,,,,
61024,Agadez,1979-12-14,Winter,17.3,10.0,,0.0,,,,,,
48991,Phnom Penh,2020-11-22,Autumn,28.4,24.0,32.0,,,357.0,3.9,,1009.8,
86560,Colonia del Sacramento,2011-10-26,Spring,15.8,11.8,,,,,,,,
59431,Nanning,2003-08-13,Summer,28.1,25.6,32.2,4.2,,,5.1,,1006.0,
40405,Buraidah,1997-02-08,Winter,9.1,5.0,15.0,,,,,,,
47815,Ōita,1999-07-16,Summer,25.4,21.6,30.7,0.0,,,,,,
48855,Da Nang,1991-12-21,Winter,23.4,20.4,24.5,,,,,,,
41907,Rajshahi,1987-04-08,Spring,32.0,22.9,40.2,,,,,,,
72414,Charleston,1991-12-10,Winter,5.9,1.7,10.6,0.0,0.0,,6.1,22.3,1022.8,
38507,Türkmenbaşy,2005-11-18,Autumn,9.3,,17.3,,,,,,,
61043,Tahoua,2012-04-16,Spring,35.9,27.0,41.2,,,,,,,
30710,Irkutsk,1999-02-06,Winter,-10.4,-17.2,-0.6,0.0,,,,,,
33837,Odessa,1967-07-02,Summer,22.0,18.1,26.0,0.0,,,,,,
06610,Neuchâtel,1979-10-16,Autumn,11.1,7.6,13.9,10.5,0.0,,,,,
48848,Đồng Hới,1998-07-23,Summer,33.5,,38.4,0.0,,,,,,
80447,San Cristóbal,1987-11-03,Autumn,29.4,20.1,,0.0,,,,,,
06260,Utrecht,1990-11-16,Autumn,11.7,9.3,13.9,0.9,0.0,220.0,18.1,,1018.1,
61687,Tambacounda,2020-01-21,Winter,31.8,,,,,,,,,
65548,Man,1982-06-28,Summer,24.5,21.3,28.5,0.0,,,,,,
11035,Vienna,1988-10-26,Autumn,3.6,-1.1,6.9,0.0,0.0,,,,,
80342,San Juan de Pasto,2016-07-10,Summer,22.4,15.0,,0.0,,,,,,
68098,Swakopmund,2007-08-08,Winter,22.1,11.9,33.2,,,,,,,
63450,Addis Ababa,2019-04-12,Spring,18.6,8.0,27.0,,,68.0,13.8,,1017.6,
61257,Kayes,2020-09-25,Autumn,29.6,22.4,35.5,7.9,,,,,,
65472,Accra,1944-02-03,Winter,27.0,23.0,33.5,,,348.0,6.2,,1011.9,
17070,Bolu,2003-11-19,Autumn,5.1,3.0,9.6,0.0,,,,,,
47035,Sinuiju,1996-05-22,Spring,18.9,9.8,26.6,,,,,,,
22113,Murmansk,1963-06-02,Summer,11.5,2.9,21.2,0.0,,,,,,
96837,Semarang,1988-08-25,Winter,28.7,23.0,,,,,,,,
72365,Santa Fe,2016-08-13,Summer,25.2,17.8,29.4,0.0,0.0,125.0,21.6,,1014.8,
40030,Hama,2009-04-26,Spring,17.1,12.0,23.3,,,,,,,
17260,Gaziantep,2004-10-18,Autumn,20.3,12.6,30.4,0.0,,226.0,3.3,,,
96253,Bengkulu,2018-10-04,Spring,27.9,23.5,,,,,,,,
40665,Kut,1950-11-24,Autumn,17.5,9.4,26.1,0.0,,,,,,
80022,Cartagena,1986-05-04,Spring,27.4,,34.2,,,,,,,
48930,Luang Prabang,1971-07-17,Summer,26.9,,,,,,,,,
66160,Luanda,2019-10-25,Spring,27.3,25.0,32.0,,,199.0,13.7,,1010.6,
64387,Kigali,1977-02-26,Summer,22.0,17.0,,3.0,,,,,,
43497,Galle,1979-06-07,Summer,28.3,26.2,30.8,,,,,,,
53614,Yinchuan,1959-02-20,Winter,-3.0,-7.0,3.7,0.0,,,,,,
36870,Almaty,1936-02-13,Winter,3.6,-1.4,9.3,0.0,,,,,,
12330,Poznań,2008-07-02,Summer,21.9,13.3,28.5,0.0,,87.0,9.4,,,
38062,Kyzylorda,2021-06-06,Summer,27.7,20.6,36.5,0.0,,72.0,19.8,,1004.3,
82798,João Pessoa,1977-09-10,Spring,25.8,,,,,,,,,
10400,Düsseldorf,2004-02-12,Winter,3.5,0.3,5.6,0.0,0.0,259.0,6.1,16.2,1033.7,0.0
17116,Bursa,1984-09-14,Autumn,21.1,11.2,31.3,0.0,,,,,,
28418,Izhevsk,1940-09-05,Autumn,17.7,13.1,21.6,4.9,,,,,,
91753,Mata-Utu,2012-07-31,Winter,26.7,25.3,29.6,0.0,,,,,,
07643,Montpellier,1975-05-02,Spring,17.9,10.0,26.0,0.0,,,,,,
11012,Linz,2001-09-06,Autumn,11.8,11.3,13.9,5.9,,,,,,
12772,Miskolc,2019-10-28,Autumn,10.3,6.0,15.2,,,350.0,3.2,11.1,1017.8,
28224,Perm,1916-07-22,Summer,20.3,13.8,26.2,7.5,,,,,,
10338,Hanover,1954-05-27,Spring,19.2,11.2,25.8,0.0,0.0,81.0,10.1,32.0,1022.9,864.0
61265,Mopti,2011-03-01,Spring,26.9,15.8,36.0,,,,,,,
38507,Türkmenbaşy,1950-04-30,Spring,18.0,13.8,23.0,0.0,,,,,,
34123,Voronezh,2001-03-04,Spring,0.7,-1.9,4.0,2.7,,,,,,
72327,Nashville,1986-08-23,Summer,26.8,22.8,32.2,0.0,0.0,228.0,14.8,38.9,1018.5,426.0
80035,Riohacha,2013-01-23,Winter,25.4,,33.3,,,,,,,
72614,Montpelier,2013-07-03,Summer,21.6,17.2,27.2,2.8,0.0,,,,1019.8,
06447,Brussels,1977-02-16,Winter,3.9,2.6,6.2,1.6,,,,,,
17609,Larnaca,1977-07-30,Summer,30.9,25.5,34.1,0.0,,,,,,
60536,Saïda,2007-06-03,Summer,17.6,5.5,27.0,0.0,,,,,,
87217,La Rioja,2015-05-30,Autumn,15.6,8.0,22.5,,,,,,,
72428,Columbus,1974-06-12,Summer,16.8,10.6,22.2,0.0,0.0,,10.9,35.3,1014.9,780.0
34172,Saratov,1961-03-20,Spring,4.9,2.9,7.1,0.0,,,,,,
48567,Trang,2015-07-23,Summer,29.3,,34.6,,,,,,,
48620,Ipoh,2003-10-19,Autumn,26.3,22.9,32.8,,,,,,,
48517,Chumphon,1976-10-08,Autumn,27.4,23.5,31.9,0.0,,,,,,
35700,Atyrau,1969-06-22,Summer,27.0,19.6,36.9,0.0,,,,,,
27459,Nizhny Novgorod,1964-11-21,Autumn,-4.4,-9.1,-0.2,0.6,,,,,,
72772,Helena,2023-02-08,Winter,2.6,-1.6,5.0,0.0,0.0,285.0,25.2,,1024.8,
28952,Kostanay,1980-12-21,Winter,-8.0,-12.1,-6.1,0.0,41.0,,,,,
84691,Ica,1995-07-24,Winter,17.1,15.7,20.0,0.0,,,2.4,,1014.8,
38927,Termez,1962-12-22,Winter,6.9,0.7,16.8,0.0,,,,,,
41150,Manama,1992-12-08,Winter,19.8,15.3,22.3,,,,,,,
28722,Ufa,1975-02-23,Winter,-21.8,-27.8,-15.6,0.0,,,,,,
25913,Magadan,1997-03-22,Spring,-8.2,-10.2,-5.7,1.4,439.0,,,,,
40800,Isfahan,1973-04-24,Spring,16.4,8.0,24.0,,,,,,,
64650,Bangui,2008-06-25,Summer,24.7,,,,,,,,,
17090,Sivas,1990-05-05,Spring,1.2,0.0,3.8,10.0,99.0,,,,,
61265,Mopti,2004-10-22,Autumn,30.9,26.8,36.8,0.0,,,,,,
91182,Honolulu,2022-07-30,Summer,27.0,24.4,31.7,0.0,,55.0,23.0,,1018.1,
61695,Ziguinchor,1983-01-05,Winter,23.5,17.0,33.3,,,,,,,
22113,Murmansk,1965-10-03,Autumn,3.4,-0.2,7.2,0.0,,,,,,
17030,Samsun,1978-04-01,Spring,8.4,7.0,20.0,9.1,,,,,,
48914,Bạc Liêu,1977-09-23,Autumn,27.8,26.0,31.0,,,,,,,
03772,London,2012-09-14,Autumn,16.6,13.3,20.3,0.0,,266.0,23.2,,,
40800,Isfahan,1993-06-23,Summer,24.6,,,,,,,,,
22820,Petrozavodsk,1976-08-25,Summer,10.2,7.6,12.6,0.0,,,,,,
71801,Saint John's,1988-01-06,Winter,-8.6,-10.0,-6.0,,,245.0,49.1,,987.2,
44354,Sainshand,1962-02-22,Winter,-9.8,-16.1,-3.9,,,,,,,
41194,Dubai,1985-07-03,Summer,33.8,26.0,37.1,,,,,,,
64570,Franceville,1982-04-23,Autumn,22.0,,,,,,,,,
48845,Vinh,2006-11-10,Autumn,25.9,23.4,30.0,0.0,,,,,,
68014,Tsumeb,1983-02-13,Summer,25.6,16.7,33.7,0.0,,,,,,
38683,Bukhara,1950-01-06,Winter,12.4,,,,,,,,,
48877,Nha Trang,1961-05-05,Spring,28.3,,,,,,,,,
76632,Pachuca,2016-09-11,Autumn,17.9,8.8,25.2,0.0,,,,,,
44287,Bayankhongor,1979-04-14,Spring,1.2,-8.0,9.0,,,,,,,
40811,Ahvaz,2003-09-06,Autumn,37.0,,,0.0,,,,,,
47016,Hyesan,1981-09-04,Autumn,12.2,7.0,19.0,,,,,,,
65548,Man,1987-09-27,Autumn,26.4,,30.0,,,,,,,
40747,Sanandaj,2009-01-30,Winter,6.7,0.4,13.5,0.0,,,,,,
28224,Perm,1951-03-22,Spring,-9.1,-19.0,-1.6,0.0,,,,,,
11012,Linz,1982-12-10,Winter,5.2,2.8,7.6,6.5,,,,,,
08045,Viana do Castelo,2013-04-10,Spring,11.7,10.1,15.6,59.7,,192.0,25.0,,1014.0,
08085,Pamplona,1981-01-09,Winter,3.9,-3.2,10.2,0.0,,,,,,
26781,Smolensk,1985-10-15,Autumn,5.2,2.7,10.0,1.3,,,,,,
07650,Marseille,1995-08-02,Summer,26.1,21.1,32.4,0.0,,,,,,
60735,Kairouan,2009-02-23,Winter,11.8,9.0,14.4,0.0,,,6.1,,,
71668,Fredericton,2001-04-18,Spring,1.0,-2.5,4.4,3.8,90.0,,,,,
D4704,Bregenz,1995-10-13,Autumn,13.4,11.3,16.0,0.0,0.0,,,,,54.0
15280,Brașov,1966-09-20,Autumn,0.0,-2.1,2.8,0.1,,,,,,
41907,Rajshahi,1990-08-12,Summer,27.6,24.5,,,,,,,,
40706,Tabriz,1974-01-03,Winter,-7.2,-12.0,-4.0,,,,,,,
43279,Chennai,2019-08-11,Summer,33.2,27.2,39.0,,,284.0,14.1,,1004.3,
63870,Zanzibar City,1992-09-20,Spring,25.3,19.5,30.1,0.0,,,,,,
37958,Kapan,1981-05-11,Spring,9.5,,24.0,,,,,,,
85245,Santa Cruz,2008-01-27,Summer,25.3,,,,,,,,,
37212,Nalchik,2003-05-29,Spring,18.5,,,,,,,,,
30925,Sükhbaatar,1993-06-20,Summer,14.6,8.8,20.5,0.0,,,,,,
02788,Kuopio,2020-04-01,Spring,-1.6,-3.2,2.2,0.0,,279.0,20.4,,992.1,
60150,Meknes,1977-08-28,Summer,21.3,,25.0,,,,,,,
87121,San Miguel de Tucumán,2000-05-20,Autumn,14.9,10.4,21.0,0.0,,,13.1,,,
54342,Fushun,1965-02-23,Winter,-8.8,-11.8,-5.1,0.0,,,,,,
38062,Kyzylorda,1991-03-30,Spring,8.8,,19.3,0.0,,,,,,
67693,Blantyre,1994-09-23,Spring,21.0,18.1,,,,,,,,
80259,Cali,1980-04-13,Spring,22.1,16.8,30.9,0.0,,,,,,
86218,Asunción,1986-10-09,Spring,20.0,,,,,,,,,
36870,Almaty,1921-03-15,Spring,7.2,3.1,10.9,5.1,,,,,,
61641,Dakar,1981-06-09,Summer,25.3,23.0,28.0,0.0,,,,,,
10055,Sorø,2001-07-16,Summer,14.6,10.1,16.4,0.7,0.0,2.0,9.4,23.4,1015.4,192.0
78735,Juigalpa,1976-11-16,Autumn,28.4,,,,,,,,,
38812,Qarshi,1999-07-01,Summer,31.7,24.2,38.5,,,,,,,
36974,Naryn,1968-03-31,Spring,0.6,-4.4,4.5,0.0,,,,,,
26850,Minsk,1966-04-28,Spring,10.4,3.4,17.4,0.0,,,,,,
17150,Balıkesir,1989-10-27,Autumn,14.1,9.9,19.6,0.0,,,,,,
44277,Altai,1995-05-04,Spring,8.1,-0.5,13.7,0.0,,,,,,
83780,São Paulo,1989-06-15,Winter,13.1,9.8,18.0,0.0,,,10.6,,,
38613,Osh,1990-07-31,Summer,29.1,20.7,36.1,0.0,,,,,,
57494,Wuhan,1963-05-16,Spring,20.4,17.4,24.2,0.0,,,,,,
65330,Parakou,2018-11-23,Autumn,28.8,21.8,35.7,,,,,,,
26124,Haapsalu,2004-05-22,Spring,6.8,0.3,12.6,,,,,,,
93420,Whanganui,2007-03-12,Autumn,19.2,15.8,23.5,0.0,,,,,,
84673,Ayacucho,1997-06-17,Winter,16.8,2.4,,,,,,,,
68032,Maun,2009-04-08,Autumn,22.6,,29.2,,,,,,,
06720,Sion,2003-02-10,Winter,-0.8,-4.3,4.1,0.0,30.0,,,,,
16149,San Marino,1996-03-23,Spring,9.7,,,0.0,,,,,,
80097,Cúcuta,2019-04-20,Spring,27.4,23.4,,0.0,,,,,,
28952,Kostanay,1924-12-12,Winter,-14.6,-17.7,-11.0,0.0,,,,,,
48480,Chanthaburi,1996-04-30,Spring,27.7,24.0,32.7,20.1,,,,,,
84370,Tumbes,1987-09-12,Spring,24.8,17.6,30.0,0.0,,,,,,
78735,Juigalpa,1978-06-30,Summer,27.0,,,,,,,,,
64400,Cabinda,1976-06-17,Winter,24.5,17.8,26.0,0.0,,,,,,
54342,Fushun,2013-01-15,Winter,-15.0,-21.8,-10.7,0.0,,,,,,
48615,Kota Bharu,2003-07-13,Summer,26.7,,32.0,0.0,,,,,,
64860,Garoua,2023-04-23,Spring,33.9,27.1,40.5,0.4,,265.0,15.0,,1005.1,
96195,Jambi,2020-11-06,Spring,28.2,24.8,33.0,,,,,,,
12205,Szczecin,2011-09-09,Autumn,13.2,,18.5,4.1,,,,,,
33711,Kropyvnytskyi,1984-03-22,Spring,-0.9,-4.0,3.9,0.0,10.0,,,,,
72408,Trenton,2006-11-28,Autumn,10.3,3.9,16.7,0.0,0.0,,6.8,,,
48431,Nakhon Ratchasima,1984-10-10,Autumn,26.7,,31.1,0.0,,,,,,
63471,Djibouti,1985-12-06,Winter,24.0,19.8,29.4,0.0,,,,,,
03302,Douglas,1995-05-06,Spring,14.0,8.1,21.0,0.0,,,6.7,,1020.3,
54527,Tianjin,1983-07-19,Summer,24.4,20.5,29.4,4.8,,,,,,
54161,Changchun,1952-12-16,Winter,-14.4,-18.6,-6.7,0.0,,,,,,
65560,Daloa,1979-02-22,Winter,27.7,25.0,34.0,0.0,,,,,,
40856,Zahedan,1993-11-02,Autumn,21.3,13.0,29.6,0.0,,,,,,
38933,Qurghonteppa,1995-05-18,Spring,21.9,16.5,28.3,0.0,,,,,,
14654,Sarajevo,2002-12-03,Winter,9.1,4.0,12.0,0.2,,,,,,
96035,Medan,2004-08-22,Summer,26.6,,33.0,24.1,,,,,,
41150,Manama,2014-06-26,Summer,35.6,32.4,39.8,,,,14.5,,,
48568,Songkhla,2013-08-06,Summer,28.1,24.5,32.5,0.0,,,,,,
60403,Guelma,2004-03-19,Spring,13.7,10.4,16.0,0.0,,,,,,
03808,Plymouth,2012-09-02,Autumn,15.0,12.2,17.8,1.2,0.0,,,,,
65545,Bondoukou,1981-08-28,Summer,22.4,21.0,,0.0,,,,,,
06590,Luxembourg,1952-07-26,Summer,14.4,12.8,22.7,0.0,,,,,,
67027,Mahajanga,1985-04-09,Autumn,28.5,23.2,32.8,7.1,,,,,,
38396,Urgench,1980-03-30,Spring,17.3,6.0,25.0,0.0,,,,,,
48500,Prachuap Khiri Khan,2013-12-11,Winter,25.1,19.6,31.8,,,,,,,
62721,Khartoum,2000-09-02,Autumn,31.6,,40.3,,,,,,,
13274,Belgrade,1953-01-17,Winter,-1.7,-3.0,-0.7,0.0,,,,,,
62435,Kharga Oasis,2019-11-29,Autumn,19.9,,26.4,,,,,,,
48665,Malacca City,1955-12-24,Winter,25.4,,,,,,,,,
48327,Chiang Mai,1988-09-18,Autumn,27.1,,32.8,7.1,,,,,,
16064,Milan,1988-09-02,Autumn,19.1,,,,,,,,,
